review_id,product_id,product_name,category,brand,user_id,age,gender,rating,review_text,review_date,verified_purchase,helpful_votes,total_votes,sentiment,review_length
REV000139,PROD0742,Tablet,Electronics,DigiWorld,USER00620,36,F,2,Poor quality Tablet. Overheating issues,2025-02-15,True,88,98,negative,5
REV000140,PROD0936,T-Shirt,Fashion,FashionForward,USER01945,26,M,1,Disappointed with T-Shirt. Material feels cheap. Not worth the money,2024-09-25,True,0,81,negative,10
REV000141,PROD0103,Vacuum Cleaner,Home Appliances,AppliancePro,USER04238,21,Other,5,Very happy with this Vacuum Cleaner. Works perfectly,2023-10-31,True,93,97,positive,8
REV000142,PROD0394,Shampoo,Beauty,BeautyEssence,USER01494,26,F,3,average shampoo. average results. price could be lower,2025-01-16,True,91,92,neutral,8
REV000143,PROD0369,Microwave,Home Appliances,EcoLiving,USER01566,48,F,3,Mixed feelings about Microwave. Basic features only ... #fail,2024-01-29,True,64,69,neutral,9
REV000144,PROD0516,Dress,Fashion,ClassicStyle,USER01126,20,Other,3,Mixed feelings about Dress. Material is okay,2023-08-01,False,45,87,neutral,7
REV000145,PROD0019,Laptop,Electronics,FutureTech,USER04156,52,Other,3,Laptop is okay. Works as expected !! #love,2023-12-13,True,95,100,neutral,8
REV000146,PROD0337,Headphones,Electronics,TechPro,USER03005,52,F,3,Average Headphones. Works as expected. Price could be lower #waste,2024-02-01,True,25,38,neutral,10
REV000147,PROD0158,Shoes,Fashion,TrendyWear,USER00059,49,Other,5,Excellent Shoes! Great color. Highly recommend!,2024-11-06,True,87,94,positive,6
REV000148,PROD0709,Face Wash,Beauty,SkinCare+,USER03667,45,M,5,5 stars! Nice fragrance.,2024-02-02,True,41,48,positive,4
REV000149,PROD0194,Air Conditioner,Home Appliances,EcoLiving,USER02651,61,M,3,Mixed feelings about Air Conditioner. Average performance,2024-05-21,True,45,98,neutral,7
REV000150,PROD0359,Jeans,Fashion,StyleHub,USER03945,46,M,4,Excellent Jeans! Looks exactly like the picture. Highly recommend!,2025-05-13,True,48,59,positive,9
REV000151,PROD0394,Shampoo,Beauty,GlowUp,USER02226,49,F,3,some improvement seen. could be better.,2024-02-20,True,91,99,neutral,6
REV000152,PROD0742,Tablet,Electronics,ElectroMax,USER01635,35,F,4,Very happy with this Tablet. Good build quality,2023-12-27,False,80,95,positive,8
REV000153,PROD0692,Football,Sports,SportZone,USER02366,57,Other,5,EXCELLENT FOOTBALL! COMFORTABLE GRIP. HIGHLY RECOMMEND! #awesome,2023-11-27,True,74,76,positive,7
REV000154,PROD0194,Air Conditioner,Home Appliances,SmartHome,USER01801,38,M,3,Mixed feelings about Air Conditioner. Basic features only,2024-10-11,True,68,75,neutral,8
REV000155,PROD0337,Headphones,Electronics,DigiWorld,USER03092,23,Other,2,Laggy performance. Would not recommend. 👍,2024-02-26,True,68,92,negative,6
REV000156,PROD0707,Smartphone,Electronics,ElectroMax,USER00937,65,F,4,5 stars! Good build quality.,2025-04-29,True,58,70,positive,5
REV000157,PROD0337,Headphones,Electronics,FutureTech,USER01986,40,M,4,Excellent Headphones! Fast performance. Highly recommend! 😊,2023-08-10,True,59,61,positive,7
REV000158,PROD0476,Jacket,Fashion,StyleHub,USER01729,54,F,1,Worst Jacket ever! Size runs small 😊 #recommended,2023-11-28,True,81,99,negative,8
REV000159,PROD0367,Perfume,Beauty,NaturalBeauty,USER04181,49,M,3,Mixed feelings about Perfume. Average results,2023-12-31,True,17,19,neutral,6
REV000160,PROD0476,Jacket,Fashion,FashionForward,USER01770,58,M,5,ExcellentJacket! Great color. Highly recommend!,2024-04-07,False,50,56,positive,5
REV000161,PROD0692,Football,Sports,ActiveGear,USER01317,41,M,5,AMAZING QUALITY! EXCELLENT QUALITY. HIGHLY RECOMMEND!,2025-01-30,False,43,59,positive,6
REV000162,PROD0707,Smartphone,Electronics,ElectroMax,USER02162,29,M,3,Average Smartphone. Works as expected. Price could be lower,2024-04-08,False,11,49,neutral,9
REV000163,PROD0019,Laptop,Electronics,DigiWorld,USER02928,49,F,5,GOOD BUILD QUALITY. WORTH EVERY PENNY! !!,2023-11-24,True,6,8,positive,7
REV000164,PROD0516,Dress,Fashion,FashionForward,USER03880,28,M,2,Not as described. Would not recommend.,2025-05-12,True,45,48,negative,6
REV000165,PROD0019,Laptop,Electronics,DigiWorld,USER04445,61,M,3,Average Laptop. Decent for the price. Price could be lower 😞,2024-05-06,True,66,94,neutral,11
REV000166,PROD0936,T-Shirt,Fashion,StyleHub,USER04405,36,F,5,Excellent T-Shirt! Comfortable material. Highly recommend!,2023-11-27,True,54,54,positive,6
REV000167,PROD0337,Headphones,Electronics,DigiWorld,USER03585,47,M,5,Amazing quality! Great battery life. Highly recommend! 😊,2024-05-14,True,99,99,positive,8
REV000168,PROD0516,Dress,Fashion,FashionForward,USER01106,28,Other,1,Poorquality Dress. Color faded after wash,2025-04-16,True,56,78,negative,6
REV000169,PROD0369,Microwave,Home Appliances,EcoLiving,USER02217,32,Other,5,Works perfectly. Worth every penny!,2024-01-29,True,23,27,positive,5
REV000170,PROD0205,Smartwatch,Electronics,DigiWorld,USER02402,31,F,4,AMAZING QUALITY! GREAT BATTERY LIFE. HIGHLY RECOMMEND!,2024-07-06,True,22,81,positive,7
REV000171,PROD0337,Headphones,Electronics,SmartLife,USER00668,36,F,3,Nothing special. Could be better.,2023-11-23,True,19,21,neutral,5
REV000172,PROD0742,Tablet,Electronics,FutureTech,USER04745,50,F,1,Worst  Tablet  ever!  Laggy  performance #love,2024-12-25,True,75,100,negative,6
REV000173,PROD0337,Headphones,Electronics,ElectroMax,USER04087,36,M,3,Headphones is okay. Average battery life,2024-08-17,False,78,90,neutral,6
REV000174,PROD0334,Running Shoes,Sports,SportZone,USER01188,19,M,5,Veryhappy with this Running Shoes. Comfortable grip ⭐,2024-09-18,True,95,96,positive,8
